,county,TOTAL DOLLAR AMOUNT OF CLAIMS
0,Shelby,1031931.97
1,Hancock,1031931.97
2,Ripley,8460992.41
3,Dearborn,8460992.41
4,Ohio,8460992.41
5,Johnson,42346979.17
6,Bartholomew,7862724.71
7,Johnson,7862724.71
8,Shelby,7862724.71
9,Adams,1508719.32
10,Wells,1508719.32
11,Jay,1508719.32
12,Noble,1484751.84
13,Kosciusko,1753163.95
14,Marshall,1753163.95
15,Putnam,1967145.69
16,Hendricks,1967145.69
17,Wabash,713393.46
18,Miami,713393.46
19,Wayne,800804.33
20,Clay,238241.23
21,Sullivan,593122.96
22,LaGrange,5035831.27
23,Elkhart,5035831.27
24,Putnam,757370.44
25,Morgan,757370.44
26,Hendricks,757370.44
27,Clark,3837828.21
28,Washington,3837828.21
29,Scott,3837828.21
30,Clark,1435029.86
31,Lawrence,12541522.69
32,Lake,24287374.16
33,Dearborn,967209.31
34,Clay,1032318.8
35,Owen,1032318.8
36,Madison,25008811.37
37,Montgomery,684286.52
38,Brown,7291345.87
39,Morgan,7291345.87
40,Johnson,7291345.87
41,Wells,1441157.35
42,Grant,1441157.35
43,Huntington,1441157.35
44,Washington,4231855.27
45,Harrison,4231855.27
46,Floyd,4231855.27
47,Bartholomew,186106.96
48,Cass,1108147.08
49,Spencer,1155059.81
50,Clark,12909702.44
51,Floyd,12909702.44
52,Warren,35318957.24
53,Tippecanoe,35318957.24
54,White,35318957.24
55,Wayne,92668036.9
56,Hendricks,27635796.34
57,Hendricks,840442.87
58,Harrison,197340.08
59,Marion,74605679.03
60,Marion,27414216.41
61,Tipton,1453552.04
62,Hamilton,1453552.04
63,Miami,1591994.51
64,Lake,59921135.58
65,Randolph,2640048.07
66,Jay,2640048.07
67,Pulaski,2492191.72
68,Jasper,2492191.72
69,White,2492191.72
70,Grant,3740153.47
71,Marion,21234962.08
72,Fulton,15901767.15
73,Lake,15812076.52
74,St. Joseph,16644482.14
75,Posey,3828377.55
76,Noble,5967593.47
77,Pike,1086610.06
78,Warrick,1086610.06
79,Parke,8553134.11
80,Harrison,4034748.24
81,Warrick,602452.69
82,Spencer,602452.69
83,Franklin,325314.78
84,Posey,20168988.39
85,Vanderburgh,20168988.39
86,Montgomery,283290.44
87,Tippecanoe,283290.44
88,Fountain,283290.44
89,Perry,4017236.94
90,Dubois,4017236.94
91,Spencer,4017236.94
92,Knox,510605.78
93,Allen,22190627.99
94,Tipton,9083072.45
95,Madison,3415661.84
96,Pike,672388.59
97,Dubois,672388.59
98,Warrick,672388.59
99,Kosciusko,1650134.26
100,Fulton,1650134.26
101,Carroll,56213347.17
102,Cass,56213347.17
103,Franklin,432236.38
104,Warrick,15599695.03
105,Spencer,15599695.03
106,Vigo,22670988.24
107,Marion,14514210.52
108,Pike,770539.36
109,Gibson,770539.36
110,Blackford,43512367.61
111,Wells,43512367.61
112,Grant,43512367.61
113,Huntington,43512367.61
114,Hamilton,11296364.93
115,Cass,1010585.58
116,Wabash,1010585.58
117,Miami,1010585.58
118,Fulton,3171472.75
119,Marshall,3171472.75
120,Lake,20978416.41
121,Clark,14841485.32
122,Clark,6265644.87
123,Floyd,6265644.87
124,Madison,27951804.2
125,Montgomery,1257743.84
126,Fountain,1257743.84
127,Knox,409235.17
128,Randolph,4770436.63
129,Jay,4770436.63
130,Washington,1709426.72
131,Jackson,1709426.72
132,Vigo,157454.42
133,Allen,37308598.2
134,LaPorte,912251.47
135,Morgan,3545287.81
136,Monroe,3545287.81
137,Owen,3545287.81
138,Brown,9475242.57
139,Bartholomew,9475242.57
140,Monroe,9475242.57
141,Vigo,28683498.2
142,Henry,823245.12
143,Union,1503125.69
144,Fayette,1503125.69
145,Boone,27588762.32
146,Delaware,14292237.41
147,Madison,14292237.41
148,Hancock,4671994.35
149,Hamilton,4671994.35
150,Ripley,262580.06
151,Ohio,262580.06
152,Switzerland,262580.06
153,St. Joseph,11700456.92
154,Porter,20580592.6
155,Carroll,19585214.21
156,Pulaski,19585214.21
157,White,19585214.21
158,Wayne,1192087.67
159,Sullivan,1667999.98
160,Benton,4341796.83
161,Warren,4341796.83
162,Hamilton,3924212.58
163,Vanderburgh,1916605.97
164,Gibson,1916605.97
165,Delaware,2550269.51
166,Tippecanoe,665931.89
167,Parke,24024233.94
168,Clay,24024233.94
169,Vigo,24024233.94
170,Jennings,37595579.92
171,Rush,1135541.1
172,Ripley,361695.42
173,Switzerland,361695.42
174,Jefferson,361695.42
175,Vermillion,1020878.06
176,Wabash,5251630.07
177,Grant,5251630.07
178,Huntington,5251630.07
179,Johnson,359430.64
180,Shelby,359430.64
181,Hendricks,533425.61
182,Ripley,11728642.49
183,Franklin,11728642.49
184,Brown,35720676.83
185,Monroe,35720676.83
186,Boone,1302950.52
187,Madison,10244321.07
188,Hancock,10244321.07
189,Monroe,22226398.42
190,Owen,22226398.42
191,Bartholomew,306221.09
192,Decatur,306221.09
193,Dubois,6119731.94
194,Warrick,6119731.94
195,Spencer,6119731.94
196,Fountain,2672378.6
197,Posey,11820382.49
198,Crawford,1037242.29
199,Crawford,3456896.81
200,Orange,3456896.81
201,Perry,342238.79
202,LaGrange,1227585.99
203,Noble,1227585.99
204,Elkhart,3941604.97
205,Kosciusko,3941604.97
206,Marion,74229345.28
207,Marion,16514105.43
208,Miami,60645918.61
209,Howard,60645918.61
210,Porter,2243843.33
211,Clay,856333.81
212,Jennings,328038.18
213,Elkhart,33896968.93
214,DeKalb,1301310.1
215,Steuben,1301310.1
216,Rush,3465830.82
217,Shelby,3465830.82
218,Marion,12451617.76
219,Hendricks,12451617.76
220,Shelby,54439893.12
221,Jefferson,8519699.62
222,Harrison,537842.67
223,Union,6333334.12
224,Franklin,6333334.12
225,DeKalb,7433999.53
226,Dearborn,2924896.34
227,Franklin,2924896.34
228,Ripley,3417906.76
229,Dearborn,3417906.76
230,Franklin,3417906.76
231,Clay,1109004.66
232,Owen,1109004.66
233,Orange,2056921.62
234,Rush,1528062.31
235,Hancock,1528062.31
236,Boone,21226451.86
237,Hendricks,21226451.86
238,Ripley,1195324.97
239,Marion,98540659.9
240,Perry,147134.01
241,Owen,1652576.84
242,Switzerland,7561525.71
243,Jefferson,7561525.71
244,Vanderburgh,38970214.87
245,Brown,2915779.11
246,Johnson,2915779.11
247,St. Joseph,1624760.92
248,Marshall,1624760.92
249,Porter,16175583.18
250,Lake,16175583.18
251,Marion,20258785.7
252,Hendricks,20258785.7
253,Randolph,1376008.98
254,Delaware,1376008.98
255,Wayne,1376008.98
256,Henry,1376008.98
257,Scott,1562893.07
258,Jennings,1562893.07
259,Jefferson,1562893.07
260,Carroll,205325.71
261,Marion,46741830.39
262,Daviess,1371176.82
263,Marion,13824683.88
264,Rush,3206305.82
265,Henry,3206305.82
266,Perry,913545.11
267,Crawford,913545.11
268,Dubois,913545.11
269,Daviess,4153111.86
270,Knox,992013.84
271,Vanderburgh,30786058.63
272,Allen,47720112.73
273,Benton,1000379.62
274,Warren,1000379.62
275,Grant,10707061.92
276,Washington,1093679.9
