PROVIDERNAME,PROVIDERPRIMESPECIALTY,CATEGORYOFSERVICES,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,TOTALNUMBEROFRECIPIENTS
"1ST CHOICE HEALTH AND WELLNESS CTR, LLC",Medical Clinic,17 - Clinic Services,246,5652,206
20 20 VISION INC,Medical Clinic,17 - Clinic Services,695,123529,77
20-20 EYE CARE PSC,Optometrist,31 - Eye Care and Exams,641,74435,90
"20/20 EYE PHYSICIANS OF INDIANA, PC",Ophthalmologist,31 - Eye Care and Exams,1194,85401,358
"20/20 EYE PHYSICIANS OF INDIANA, PC",Ophthalmologist,31 - Eye Care and Exams,43,4602,28
20/20 EYE SPECIALISTS,Ophthalmologist,12 - X-Ray Services,41,2762,42
20/20 EYE SPECIALISTS,Ophthalmologist,31 - Eye Care and Exams,1856,212299,57
20/20 EYE SPECIALISTS - GARY,Ophthalmologist,31 - Eye Care and Exams,341,67776,47
20/20 EYE SPECIALISTS - MERRILLVILLE,Ophthalmologist,31 - Eye Care and Exams,157,29218,110
21ST CENTURY DENTAL -INDIANAPOLIS,Dental Clinic,27 - Dental Services - Child,934,131200,202
21ST CENTURY DENTAL -INDIANAPOLIS,Dental Clinic,28 - Dental Services - Adult,494,91919,100
24 HOUR DENTAL CARE,General Dentistry Practitioner,27 - Dental Services - Child,551,166636,329
24 HOUR DENTAL CARE,General Dentistry Practitioner,28 - Dental Services - Adult,3912,1415163,85
24 ON PHYSICIANS PC,General Internist,06 - Physician Services,3990,201433,232
32 PEARLS FAMILY DENTISTRY INC,General Dentistry Practitioner,27 - Dental Services - Child,398,61506,86
32 PEARLS FAMILY DENTISTRY INC,General Dentistry Practitioner,28 - Dental Services - Adult,275,31936,213
3D VISION INCORPORATED,Ophthalmologist,31 - Eye Care and Exams,143,9776,46
"4PATH, LTD",Pathologist,11 - Lab Services,24,0,45
5TH AVE DENTAL INC,General Dentistry Practitioner,27 - Dental Services - Child,66,16225,78
5TH AVE DENTAL INC,General Dentistry Practitioner,28 - Dental Services - Adult,211,45013,35
7 DAYS FAMILY DENTAL,General Dentistry Practitioner,27 - Dental Services - Child,252,75640,343
7 DAYS FAMILY DENTAL,General Dentistry Practitioner,28 - Dental Services - Adult,721,271815,58
A & G BEHAVORIAL HEALTH SERVICES,Psychiatrist,26 - Mental Health Services,1270,37138,25
A AND E DIAGNOSTIC IMAGING LLC,Radiologist,06 - Physician Services,44,7113,72
