TOTALNUMBEROFRECIPIENTS,TOTALNUMBEROFCLAIMS,TOTALDOLLARAMOUNTOFCLAIMS,PROVIDERNAME,PROVIDER TYPE,PROVIDER PRIMESSPECIALTY,PROVIDER ADDR STREET1,PROVIDER ADDR STREET2,PROVIDER ADDR CITY,PROVIDER ADDR STATE,PROVIDER ZIP CODE,PROVIDER GEO LATITUDE,PROVIDER GEO LONGITUDE,DOMINANTDIAGNOSIS
40,45,1393,"IMAGING ASSOCIATES OF INDIANA, PC",Physician,Radiologist,2411 LAPORTE AVE,,VALPARAISO,IN,46383,41.468124,-87.031646,Unspecified abdominal pain
296,331,17490,ST. VINCENT MEDICAL GROUP INC,Physician,Family Practitioner,186 E SOUTHWAY BLVD,,KOKOMO,IN,46902,40.443687,-86.131081,"Acute pharyngitis, unspecified                                                                      "
95,1658,2123071,GLENBROOK REHAB & SKILLED NURSING CTR,Extended Care Facility,Nursing Facility,3811 PARNELL AVE,,FORT WAYNE,IN,46805,41.11111,-85.12557,Essential (primary) hypertension
1016,1752,400726,ST VINCENT ANDERSON REGIONAL HOSP INC,Pharmacy,Pharmacy,2015 JACKSON ST,,ANDERSON,IN,46016,40.096249,-85.680461,"Acute upper respiratory infection, unspecified                                                      "
38,45,4397,PHYSICIANS URGENT CARE,Clinic,Medical Clinic,2680 ESCALADE WAY,,WARSAW,IN,46582,41.27966,-85.82395,"Acute upper respiratory infection, unspecified                                                      "
450,689,9933,METHODIST HOSPITALS CARDIOGRAPHICS LLC,Physician,Cardiologist,600 GRANT ST,,GARY,IN,46402,41.60371,-87.33717,"Chest pain, unspecified                                                                             "
80,579,131562,CORAM HEALTHCARE CORP OF INDIANA,Pharmacy,Pharmacy,1290 ARROWHEAD COURT  SUITE A,,CROWN POINT,IN,46307,41.429935,-87.348248,"Dysphagia, unspecified                                                                              "
33,265,64079,"LAPORTE COUNTY MEALS ON WHEELS, INC",Waiver Provider,Aged & Disabled Waiver (A&D),301 E. 8TH ST STE 110,,MICHIGAN CITY,IN,46360,41.71471,-86.89728,"Illness, unspecified                                                                                "
519,731,42998,HOOSIER EMERGENCY PHYSICIANS LLC,Physician,Emergency Medicine Practitioner,2200 N SECTION ST,,SULLIVAN,IN,47882,39.1255,-87.40908,"Acute pharyngitis, unspecified                                                                      "
24,820,604213,THE WATERS OF RISING SUN,Extended Care Facility,Nursing Facility,405 RIO VISTA LN,,RISING SUN,IN,47040,38.942948,-84.859945,Unspecified dementia without behavioral disturbance
143,2692,3201358,RIVERVIEW VILLAGE,Extended Care Facility,Nursing Facility,586 EASTERN BLVD,,CLARKSVILLE,IN,47129,38.298257,-85.761009,Unspecified dementia without behavioral disturbance
562,646,48298,CLARK MEMORIAL HOSP URGENT CARE-SELLERS,Clinic,Medical Clinic,130 HUNTER STATION WAY,,SELLERSBURG,IN,47172,38.382822,-85.77206,"Acute upper respiratory infection, unspecified                                                      "
